Movie Title,Year,Score,Adjusted Score,Director,Cast,Consensus
Mission: Impossible -- Ghost Protocol,2011,93,102708.0,Brad Bird,"Tom Cruise, Jeremy Renner, Simon Pegg, Paula Patton","Stylish, fast-paced, and loaded with gripping set pieces, the fourth"
Fast Five,2011,77,84703.0,Justin Lin,"Vin Diesel, Paul Walker, Jordana Brewster, Tyrese Gibson","Sleek, loud, and over the top,"
Lethal Weapon,1987,80,85287.0,Richard Donner,"Mel Gibson, Danny Glover, Gary Busey, Mitchell Ryan","The most successful installment in a phenomenally successful series,"
The Rock,1996,68,71388.0,Michael Bay,"Sean Connery, Nicolas Cage, Ed Harris, Michael Biehn","For visceral thrills, it can't be beat. Just don't expect The Rock to engage your brain."
RoboCop,1987,90,96744.0,Paul Verhoeven,"Peter Weller, Nancy Allen, Ronny Cox, Daniel O'Herlihy","While over-the-top and gory, Robocop is also a surprisingly smart sci-fi flick that uses ultraviolence to disguise its satire of American culture."
John Wick: Chapter 2,2017,89,101570.0,Chad Stahelski,"Keanu Reeves, Common, Laurence Fishburne, Riccardo Scamarcio",
Casino Royale,2006,94,104379.0,Martin Campbell,"Daniel Craig, Eva Green, Mads Mikkelsen, Judi Dench",
Baby Driver,2017,92,111767.0,Edgar Wright,"Ansel Elgort, Kevin Spacey, Lily James, Jon Bernthal","Stylish, exciting, and fueled by a killer soundtrack,"
Fist of Legend,1994,100,47846.0,Gordon Chan,"Jet Li, Chin Siu Ho, Billy Chow, Yasuaki Kurata",
The Killer,1989,98,100313.0,John Woo,"Chow Yun-Fat, Danny Lee, Sally Yeh, Kenneth Tsang",
The Raid 2,2014,82,89276.0,Gareth Evans,"Iko Uwais, Yayan Ruhian, Arifin Putra, Oka Antara","Although its high-energy plot and over-the-top violence may play better with genre aficionados,"
Enter the Dragon,1973,95,100354.0,Robert Clouse,"Bruce Lee, John Saxon, Jim Kelly, Ahna Capri","Badass to the max,"
Commando,1985,69,70887.0,Mark L. Lester,"Arnold Schwarzenegger, Rae Dawn Chong, Dan Hedaya, Vernon Wells","The ultimate '80s Schwarzenegger movie, replete with a threadbare plot, outsized action, and endless one-liners."
First Blood,1982,85,88802.0,Ted Kotcheff,"Sylvester Stallone, Richard Crenna, Brian Dennehy, David Caruso","Much darker and more sensitive than the sequels it spawned,"
Mission: Impossible Rogue Nation,2015,94,108498.0,Christopher McQuarrie,"Tom Cruise, Jeremy Renner, Simon Pegg, Rebecca Ferguson",
The Terminator,1984,100,106371.0,James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Michael Biehn, Paul Winfield","With its impressive action sequences, taut economic direction, and relentlessly fast pace, it's clear why The Terminator continues to be an influence on sci-fi and action flicks."
Gladiator,2000,77,85907.0,Ridley Scott,"Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed",Ridley Scott and an excellent cast successfully convey the intensity of Roman gladitorial combat as well as the political intrigue brewing beneath.
Kill Bill: Vol. 1,2003,85,92157.0,Quentin Tarantino,"Uma Thurman, Lucy Liu, Vivica A. Fox, Michael Madsen",
The Professional,1994,74,77817.0,Luc Besson,"Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello",Pivoting on the unusual relationship between seasoned hitman and his 12-year-old apprentice -- a breakout turn by young Natalie Portman -- Luc Besson's
Speed,1994,94,99170.0,Jan de Bont,"Keanu Reeves, Dennis Hopper, Sandra Bullock, Joe Morton","A terrific popcorn thriller,"
Drunken Master II,1994,84,89156.0,Chia-Liang Liu,"Jackie Chan, Ti Lung, Anita Mui, Kar-leung Lau",Jackie Chan sends up some amazing and entertaining fight sequences in The Legend of Drunken Master.
John Wick,2014,86,96609.0,Chad Stahelski,"Keanu Reeves, Michael Nyqvist, Alfie Allen, Willem Dafoe","Stylish, thrilling, and giddily kinetic,"
"Crouching Tiger, Hidden Dragon",2000,97,103107.0,Ang Lee,"Chow Yun-Fat, Michelle Yeoh, Zhang Ziyi, Chen Chang","The movie that catapulted Ang Lee into the ranks of upper echelon Hollywood filmmakers,"
Predator,1987,81,85390.0,John McTiernan,"Arnold Schwarzenegger, Carl Weathers, Jesse Ventura, Elpidia Carrillo",
The Bourne Ultimatum,2007,92,101522.0,Paul Greengrass,"Matt Damon, Julia Stiles, Joan Allen, David Strathairn",
Total Recall,1990,82,88314.0,Paul Verhoeven,"Arnold Schwarzenegger, Rachel Ticotin, Sharon Stone, Ronny Cox","Under Paul Verhoeven's frenetic direction, Total Recall is a fast-paced rush of violence, gore, and humor that never slacks."
Mad Max 2,1981,94,97984.0,George Miller,"Mel Gibson, Bruce Spence, Emil Minty, Vernon Wells",
Heat,1995,87,92309.0,Michael Mann,"Al Pacino, Robert De Niro, Val Kilmer, Jon Voight","Though Al Pacino and Robert De Niro share but a handful of screen minutes together,"
The Raid: Redemption,2011,87,93569.0,Gareth Huw Evans,"Iko Uwais, Joe Taslim, Doni Alamsyah, Yayan Ruhian","No frills and all thrills,"
Mission: Impossible -- Fallout,2018,97,120676.0,Christopher McQuarrie,"Tom Cruise, Henry Cavill, Ving Rhames, Simon Pegg","Fast, sleek, and fun,"
Raiders of the Lost Ark,1981,95,103737.0,Steven Spielberg,"Harrison Ford, Karen Allen, Paul Freeman, Wolf Kahler","Featuring bravura set pieces, sly humor, and white-knuckle action,"
Aliens,1986,97,105604.0,James Cameron,"Sigourney Weaver, Carrie Henn, Michael Biehn, Paul Reiser",While
Hard-Boiled,1992,94,96916.0,John Woo,"Chow Yun-Fat, Bowie Lam, Philip Chan, Tony Leung Chiu Wai","Boasting impactful action as well as surprising emotional resonance,"
The Matrix,1999,88,94918.0,Andy Wachowski,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving","Thanks to the Wachowskis' imaginative vision,"
Terminator 2: Judgment Day,1991,93,99379.0,James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick","T2 features thrilling action sequences and eye-popping visual effects, but what takes this sci-fi/ action landmark to the next level is the depth of the human (and cyborg) characters."
Die Hard,1988,94,100188.0,John McTiernan,"Bruce Willis, Alan Rickman, Bonnie Bedelia, Reginald VelJohnson",Its many imitators (and sequels) have never come close to matching the taut thrills of the definitive holiday action classic.
Mad Max: Fury Road,2015,97,116929.0,George Miller,"Tom Hardy, Charlize Theron, Nicholas Hoult, Hugh Keays-Byrne","With exhilarating action and a surprising amount of narrative heft,"
